iter	Logloss
0	0.5858120737
1	0.5086319102
2	0.4636256493
3	0.4272860997
4	0.4003404249
5	0.3820635884
6	0.3592562443
7	0.3440533498
8	0.335426996
9	0.3262955358
10	0.3195573669
11	0.3083702231
12	0.3014818566
13	0.2968403339
14	0.2944344941
15	0.2846737292
16	0.2795055883
17	0.2731634721
18	0.2688005381
19	0.2652405643
20	0.2601972337
21	0.2564653828
22	0.2541941864
23	0.2511343832
24	0.2493186839
25	0.2463975406
26	0.2437335705
27	0.2418365048
28	0.2391677911
29	0.2374291463
30	0.2351366425
31	0.2329801798
32	0.2309098376
33	0.2293563446
34	0.2244973072
35	0.2234986795
36	0.217997623
37	0.2159968908
38	0.2130148017
39	0.2083416104
40	0.2071505574
41	0.2050917193
42	0.2026994002
43	0.2020116071
44	0.1979823742
45	0.1977588382
46	0.1963003792
47	0.1949703976
48	0.1920075193
49	0.1917981395
50	0.1894452326
51	0.1843744544
52	0.1827231374
53	0.1817853013
54	0.1806581905
55	0.1787575642
56	0.1771884079
57	0.1770424315
58	0.1760801023
59	0.1738425671
60	0.1736015815
61	0.1728340023
62	0.1681669019
63	0.167975423
64	0.1674009562
65	0.1666860931
66	0.165809248
67	0.1652338169
68	0.1626073739
69	0.1604496433
70	0.1597959793
71	0.159628163
72	0.1586385446
73	0.156305623
74	0.156228275
75	0.1560723091
76	0.1550813523
77	0.1541451431
78	0.1533006075
79	0.151558894
80	0.1491898382
81	0.1471598728
82	0.146782977
83	0.1446421799
84	0.1436206916
85	0.1427416941
86	0.1407593554
87	0.1387988816
88	0.1378231994
89	0.1362314379
90	0.1354893034
91	0.1337088681
92	0.1323736906
93	0.1310359651
94	0.1300993363
95	0.1295741054
96	0.1290978317
97	0.1280805177
98	0.1266926873
99	0.124850116
100	0.1247767517
101	0.124682261
