iter	Passed	Remaining
0	18	1823
1	37	1880
2	42	1402
3	47	1159
4	56	1087
5	68	1088
6	74	1004
7	75	892
8	80	827
9	82	755
10	148	1224
11	149	1123
12	153	1048
13	156	984
14	198	1149
15	202	1088
16	210	1052
17	212	991
18	214	936
19	218	895
20	221	853
21	227	825
22	229	787
23	231	752
24	233	720
25	237	693
26	240	666
27	256	678
28	263	664
29	266	639
30	268	614
31	269	590
32	274	573
33	275	551
34	277	530
35	279	512
36	282	495
37	287	484
38	291	470
39	297	461
40	299	445
41	301	430
42	303	416
43	309	407
44	313	397
45	315	384
46	319	373
47	338	380
48	343	371
49	346	359
50	348	348
51	349	336
52	354	328
53	356	316
54	357	305
55	359	295
56	361	285
57	363	276
58	366	267
59	368	258
60	372	250
61	377	243
62	379	235
63	385	228
64	388	220
65	452	247
66	457	239
67	461	230
68	466	223
69	473	216
70	475	207
71	481	200
72	483	191
73	497	188
74	499	179
75	508	173
76	523	170
77	525	161
78	546	158
79	548	150
80	562	145
81	564	137
82	568	130
83	569	121
84	570	114
85	571	106
86	572	98
87	573	91
88	574	83
89	577	77
90	578	69
91	579	62
92	580	56
93	581	49
94	582	42
95	585	36
96	586	30
97	587	23
98	588	17
99	589	11
100	590	5
101	592	0
